00:11:12.796 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-AdminTaskTimer] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Checking for expired resources - Wed Jul 13 00:11:12 CST 2016 [com.mchange.v2.resourcepool.BasicResourcePool@195508fd]
00:11:12.810 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-AdminTaskTimer] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - BEGIN check for expired resources.  [com.mchange.v2.resourcepool.BasicResourcePool@195508fd]
00:11:12.810 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-AdminTaskTimer] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - FINISHED check for expired resources.  [com.mchange.v2.resourcepool.BasicResourcePool@195508fd]
00:11:12.811 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-AdminTaskTimer] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Refurbishing idle resources - Wed Jul 13 00:11:12 CST 2016 [com.mchange.v2.resourcepool.BasicResourcePool@195508fd]
00:11:12.828 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#1] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Testing PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@6bf0d425] on IDLE CHECK.
00:11:12.828 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#2] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Testing PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@24eced4a] on IDLE CHECK.
00:11:12.828 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#0] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Testing PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@b1afb37] on IDLE CHECK.
00:11:12.831 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#0] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Test of PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@b1afb37] on IDLE CHECK has SUCCEEDED.
00:11:12.832 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#0] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Testing PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@41df0327] on IDLE CHECK.
00:11:12.832 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#1] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Test of PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@6bf0d425] on IDLE CHECK has SUCCEEDED.
00:11:12.832 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#1] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Testing PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@42902554] on IDLE CHECK.
00:11:12.833 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#2] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Test of PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@24eced4a] on IDLE CHECK has SUCCEEDED.
00:11:12.834 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#2] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Testing PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@473321fa] on IDLE CHECK.
00:11:12.838 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#0] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Test of PooledConnection [com.mchange.v2.c3p0.impl.NewPooledConnection@41df0327] on IDLE CHECK has SUCCEEDED.
